Number,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
1,0,79,1,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,56.16,1
2,0,49,2,1,2,0,0,HB,TA/TO,0,0,0,A,6,No Deposit,Transient,64.8,3
3,0,292,0,1,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,38,1
4,0,121,3,6,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,180,4
5,0,4,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
6,0,229,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,118.5,0
7,1,248,2,3,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,55.8,0
8,0,71,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,37.8,1
9,0,80,2,2,2,0,0,FB,Direct,0,1,0,F,1,No Deposit,Transient,195,0
10,1,246,2,5,2,0,0,BB,TA/TO,0,1,0,A,0,No Deposit,Transient-Party,58.95,0
11,0,108,1,5,3,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient,234,1
12,0,468,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,67,1
13,1,117,2,5,2,0,0,BB,TA/TO,0,0,0,E,4,No Deposit,Transient-Party,66.02,0
14,0,0,0,1,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,93,1
15,0,7,0,5,2,0,0,HB,Direct,0,0,0,D,1,No Deposit,Transient,124.33,1
16,1,211,0,3,1,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,89,0
17,1,177,2,7,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient,200,0
18,0,27,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,0,0
19,0,225,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,85,0
20,1,289,1,2,2,0,0,FB,TA/TO,0,1,0,A,0,No Deposit,Transient-Party,69,0
21,0,4,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,46,1
22,0,243,2,3,1,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,55.1,0
23,1,45,2,3,2,0,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,117.81,0
24,0,1,0,1,1,0,0,BB,Direct,0,0,2,A,0,No Deposit,Transient,75,0
25,1,78,1,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,259,0
26,0,19,2,2,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,139,1
27,1,296,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,67.5,2
28,1,28,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,170,2
29,0,225,1,3,2,0,0,BB,Direct,0,0,0,A,2,No Deposit,Transient-Party,72,0
30,0,0,0,1,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,68,0
31,0,81,0,3,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,86.55,0
32,0,5,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,171,1
33,1,248,2,3,1,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,55.8,0
34,0,31,0,2,2,0,0,HB,Direct,1,0,0,A,0,No Deposit,Transient-Party,305,1
35,1,53,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,40.81,1
36,0,62,1,4,1,0,0,BB,Corporate,1,0,0,A,1,No Deposit,Transient-Party,85,0
37,0,3,0,2,2,0,0,BB,Direct,1,0,1,A,0,No Deposit,Transient,161,2
38,0,101,2,1,2,2,0,HB,TA/TO,0,0,0,G,0,No Deposit,Transient,130,0
