Number,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
12,35,0,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,145,0
14,18,0,4,2,1,0,HB,TA/TO,0,0,0,G,1,No Deposit,Transient,154.77,1
15,37,0,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,94.71,0
23,72,2,4,2,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient,84.67,1
34,69,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65.5,0
36,40,1,3,3,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,108.8,1
42,45,2,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,79.5,0
44,70,2,3,2,0,0,HB,Direct,0,0,0,E,0,No Deposit,Transient,137,1
46,47,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,153,0
51,113,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,67.58,2
61,10,0,2,2,0,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,117.81,0
62,5,0,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,135,2
63,17,0,3,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,133,1
64,93,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,58.95,0
72,101,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,73.8,1
80,81,2,6,3,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,85.86,0
83,364,3,7,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,55.68,0
92,21,0,1,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,123,0
93,9,0,1,2,0,0,BB,TA/TO,0,0,0,C,0,No Deposit,Transient,94.71,0
102,98,2,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,71.55,0
104,95,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,85.8,2
105,102,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,96.3,1
110,102,2,5,2,0,1,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,73.8,2
122,51,0,1,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,105,0
124,73,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,73.8,2
133,5,1,0,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,97,0
138,9,1,0,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,101,0
142,80,2,0,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,97,0
143,97,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,87.3,2
144,109,2,3,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,85.59,2
148,90,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,82,0
151,97,2,5,2,2,0,HB,Direct,0,0,0,C,1,No Deposit,Transient,164.2,1
152,29,2,5,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,97.29,1
155,8,4,5,2,2,0,BB,TA/TO,0,0,0,H,1,No Deposit,Transient,175,1
157,94,4,6,3,0,0,BB,Direct,0,0,0,D,3,No Deposit,Transient,124.45,1
160,79,4,10,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Contract,134.1,0
161,115,1,4,2,2,0,BB,TA/TO,0,0,0,G,1,No Deposit,Transient,167,0
162,111,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,123,2
164,94,1,3,3,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,171.32,1
168,111,0,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,2
170,2,1,0,2,1,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,131,0
174,48,1,3,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,167,0
176,104,1,3,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,73.8,1
183,258,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,47.25,0
185,94,3,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,87.3,0
187,100,3,7,2,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient,63.86,1
189,97,3,7,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Contract,91.37,2
192,111,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,93.6,0
195,55,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,82,2
198,8,0,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,1
202,8,0,4,3,2,0,BB,TA/TO,0,0,0,H,2,No Deposit,Transient,193,1
207,88,2,5,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,139,2
208,54,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,79.5,0
209,292,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,47.25,0
212,7,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,131,2
217,105,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,73.8,1
221,1,0,2,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,104.72,1
223,113,2,4,2,0,0,BB,Direct,0,0,0,E,1,No Deposit,Transient,77.96,1
224,280,2,5,2,1,0,HB,TA/TO,0,0,0,D,0,No Deposit,Contract,112,1
227,33,2,5,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,155,0
229,100,2,7,3,0,0,BB,TA/TO,0,0,0,E,1,No Deposit,Transient-Party,130.1,3
233,12,0,2,2,2,0,BB,Direct,0,0,0,H,2,No Deposit,Transient,146,0
236,44,0,3,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,153,0
239,103,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65.42,0
243,90,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,90.95,0
245,90,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,119.25,0
259,21,1,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,98,1
261,30,2,2,2,0,0,FB,Direct,0,0,0,F,0,No Deposit,Transient-Party,197,1
266,35,2,3,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,149.4,0
267,78,2,5,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,106.84,2
273,87,2,5,2,1,1,FB,TA/TO,0,0,0,C,0,No Deposit,Transient,133.83,2
282,44,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120.6,0
